model,tau,budget_r,n,k,events,TP,precision,recall
enet,17,0.07,747,53,29,5,0.09433962264150944,0.1724137931034483
enet,17,0.08,747,60,29,5,0.08333333333333333,0.1724137931034483
enet,17,0.09,747,68,29,7,0.10294117647058823,0.2413793103448276
enet,17,0.1,747,75,29,10,0.13333333333333333,0.3448275862068966
enet,17,0.11,747,83,29,11,0.13253012048192772,0.3793103448275862
enet,17,0.12,747,90,29,11,0.12222222222222222,0.3793103448275862
enet,17,0.13,747,98,29,13,0.1326530612244898,0.4482758620689655
enet,17,0.14,747,105,29,13,0.12380952380952381,0.4482758620689655
enet,17,0.15,747,113,29,13,0.11504424778761062,0.4482758620689655
enet,17,0.16,747,120,29,13,0.10833333333333334,0.4482758620689655
enet,17,0.17,747,127,29,13,0.10236220472440945,0.4482758620689655
enet,17,0.18,747,135,29,13,0.0962962962962963,0.4482758620689655
enet,17,0.19,747,142,29,13,0.09154929577464789,0.4482758620689655
enet,17,0.2,747,150,29,14,0.09333333333333334,0.4827586206896552
hgbr,15,0.01,747,8,134,6,0.75,0.04477611940298507
hgbr,15,0.02,747,15,134,10,0.6666666666666666,0.07462686567164178
hgbr,15,0.03,747,23,134,11,0.4782608695652174,0.08208955223880597
hgbr,15,0.04,747,30,134,17,0.5666666666666667,0.12686567164179105
hgbr,15,0.05,747,38,134,19,0.5,0.1417910447761194
hgbr,15,0.06,747,45,134,20,0.4444444444444444,0.14925373134328357
hgbr,15,0.07,747,53,134,22,0.41509433962264153,0.16417910447761194
hgbr,15,0.08,747,60,134,27,0.45,0.20149253731343283
hgbr,15,0.09,747,68,134,29,0.4264705882352941,0.21641791044776118
hgbr,15,0.1,747,75,134,30,0.4,0.22388059701492538
hgbr,15,0.11,747,83,134,34,0.40963855421686746,0.2537313432835821
hgbr,15,0.12,747,90,134,36,0.4,0.26865671641791045
hgbr,15,0.13,747,98,134,37,0.37755102040816324,0.27611940298507465
hgbr,15,0.14,747,105,134,38,0.3619047619047619,0.2835820895522388
hgbr,15,0.15,747,113,134,40,0.35398230088495575,0.29850746268656714
hgbr,15,0.16,747,120,134,42,0.35,0.31343283582089554
hgbr,15,0.17,747,127,134,43,0.33858267716535434,0.3208955223880597
hgbr,15,0.18,747,135,134,44,0.32592592592592595,0.3283582089552239
hgbr,15,0.19,747,142,134,44,0.30985915492957744,0.3283582089552239
hgbr,15,0.2,747,150,134,45,0.3,0.3358208955223881
hgbr,16,0.01,747,8,71,3,0.375,0.04225352112676056
hgbr,16,0.02,747,15,71,6,0.4,0.08450704225352113
hgbr,16,0.03,747,23,71,7,0.30434782608695654,0.09859154929577464
hgbr,16,0.04,747,30,71,12,0.4,0.16901408450704225
hgbr,16,0.05,747,38,71,14,0.3684210526315789,0.19718309859154928
hgbr,16,0.06,747,45,71,15,0.3333333333333333,0.2112676056338028
hgbr,16,0.07,747,53,71,16,0.3018867924528302,0.22535211267605634
hgbr,16,0.08,747,60,71,20,0.3333333333333333,0.28169014084507044
hgbr,16,0.09,747,68,71,21,0.3088235294117647,0.29577464788732394
hgbr,16,0.1,747,75,71,22,0.29333333333333333,0.30985915492957744
hgbr,16,0.11,747,83,71,24,0.2891566265060241,0.3380281690140845
hgbr,16,0.12,747,90,71,24,0.26666666666666666,0.3380281690140845
hgbr,16,0.13,747,98,71,25,0.25510204081632654,0.352112676056338
hgbr,16,0.14,747,105,71,26,0.24761904761904763,0.36619718309859156
hgbr,16,0.15,747,113,71,27,0.23893805309734514,0.38028169014084506
hgbr,16,0.16,747,120,71,27,0.225,0.38028169014084506
hgbr,16,0.17,747,127,71,27,0.2125984251968504,0.38028169014084506
hgbr,16,0.18,747,135,71,27,0.2,0.38028169014084506
hgbr,16,0.19,747,142,71,27,0.19014084507042253,0.38028169014084506
hgbr,16,0.2,747,150,71,27,0.18,0.38028169014084506
hgbr,17,0.01,747,8,29,3,0.375,0.10344827586206896
hgbr,17,0.02,747,15,29,4,0.26666666666666666,0.13793103448275862
hgbr,17,0.03,747,23,29,4,0.17391304347826086,0.13793103448275862
hgbr,17,0.04,747,30,29,6,0.2,0.20689655172413793
