model,horizon,outer_fold,threshold,nominal_budget_r,metric_scope,primary_reference,total_N,total_events,alarms_issued,realized_alarm_fraction,TP,FP,FN,TN,precision,recall,specificity,false_positive_rate,false_alarm_fraction_of_alarms,missed_event_fraction,startup_N,eligible_N,score_context,sequential_run_id
ElasticNet,5,1,17,0.1,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,16,0,0.0,0,0,16,233,,0.0,1.0,0.0,,1.0,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
ElasticNet,5,2,15,0.05,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,20,38,0.15261044176706828,8,30,12,199,0.21052631578947367,0.4,0.868995633187773,0.13100436681222707,0.7894736842105263,0.6,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
ElasticNet,5,2,15,0.1,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,20,65,0.26104417670682734,10,55,10,174,0.15384615384615385,0.5,0.759825327510917,0.24017467248908297,0.8461538461538461,0.5,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
ElasticNet,5,2,16,0.05,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,7,38,0.15261044176706828,4,34,3,208,0.10526315789473684,0.5714285714285714,0.859504132231405,0.14049586776859505,0.8947368421052632,0.42857142857142855,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
ElasticNet,5,2,16,0.1,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,7,65,0.26104417670682734,4,61,3,181,0.06153846153846154,0.5714285714285714,0.7479338842975206,0.25206611570247933,0.9384615384615385,0.42857142857142855,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
ElasticNet,5,2,17,0.05,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,1,38,0.15261044176706828,1,37,0,211,0.02631578947368421,1.0,0.8508064516129032,0.14919354838709678,0.9736842105263158,0.0,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
ElasticNet,5,2,17,0.1,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,1,65,0.26104417670682734,1,64,0,184,0.015384615384615385,1.0,0.7419354838709677,0.25806451612903225,0.9846153846153847,0.0,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
ElasticNet,5,3,15,0.05,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,55,33,0.13253012048192772,17,16,38,178,0.5151515151515151,0.3090909090909091,0.9175257731958762,0.08247422680412371,0.48484848484848486,0.6909090909090909,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
ElasticNet,5,3,15,0.1,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,55,40,0.1606425702811245,21,19,34,175,0.525,0.38181818181818183,0.9020618556701031,0.0979381443298969,0.475,0.6181818181818182,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
ElasticNet,5,3,16,0.05,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,33,33,0.13253012048192772,13,20,20,196,0.3939393939393939,0.3939393939393939,0.9074074074074074,0.09259259259259259,0.6060606060606061,0.6060606060606061,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
ElasticNet,5,3,16,0.1,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,33,40,0.1606425702811245,16,24,17,192,0.4,0.48484848484848486,0.8888888888888888,0.1111111111111111,0.6,0.5151515151515151,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
ElasticNet,5,3,17,0.05,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,12,33,0.13253012048192772,7,26,5,211,0.21212121212121213,0.5833333333333334,0.890295358649789,0.10970464135021098,0.7878787878787878,0.4166666666666667,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
ElasticNet,5,3,17,0.1,secondary_full_fold_with_startup_no_alarms,primary_post_startup,249,12,40,0.1606425702811245,9,31,3,206,0.225,0.75,0.869198312236287,0.1308016877637131,0.775,0.25,30,219,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
