model,horizon,outer_fold,threshold,nominal_budget_r,eligible_N,eligible_events,alarms_issued,realized_alarm_fraction,TP,FP,FN,TN,precision,recall,specificity,false_positive_rate,false_alarm_fraction_of_alarms,missed_event_fraction,nominal_budget_difference,startup_N,score_context,sequential_run_id
HybridRank_fixed_documented,5,3,15,0.05,219,49,39,0.1780821917808219,18,21,31,149,0.46153846153846156,0.3673469387755102,0.8764705882352941,0.12352941176470589,0.5384615384615384,0.6326530612244898,0.12808219178082192,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
HybridRank_fixed_documented,5,3,15,0.1,219,49,50,0.228310502283105,22,28,27,142,0.44,0.4489795918367347,0.8352941176470589,0.16470588235294117,0.56,0.5510204081632653,0.128310502283105,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
HybridRank_fixed_documented,5,3,16,0.05,219,32,37,0.1689497716894977,16,21,16,166,0.43243243243243246,0.5,0.8877005347593583,0.11229946524064172,0.5675675675675675,0.5,0.1189497716894977,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
HybridRank_fixed_documented,5,3,16,0.1,219,32,49,0.2237442922374429,17,32,15,155,0.3469387755102041,0.53125,0.8288770053475936,0.1711229946524064,0.6530612244897959,0.46875,0.1237442922374429,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
HybridRank_fixed_documented,5,3,17,0.05,219,12,37,0.1689497716894977,7,30,5,177,0.1891891891891892,0.5833333333333334,0.855072463768116,0.14492753623188406,0.8108108108108109,0.4166666666666667,0.1189497716894977,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
HybridRank_fixed_documented,5,3,17,0.1,219,12,53,0.2420091324200913,8,45,4,162,0.1509433962264151,0.6666666666666666,0.782608695652174,0.21739130434782608,0.8490566037735849,0.3333333333333333,0.1420091324200913,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Persistence,5,1,15,0.05,219,48,8,0.0365296803652968,3,5,45,166,0.375,0.0625,0.9707602339181286,0.029239766081871343,0.625,0.9375,-0.013470319634703201,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Persistence,5,1,15,0.1,219,48,18,0.0821917808219178,9,9,39,162,0.5,0.1875,0.9473684210526315,0.05263157894736842,0.5,0.8125,-0.017808219178082202,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Persistence,5,1,16,0.05,219,28,8,0.0365296803652968,2,6,26,185,0.25,0.07142857142857142,0.9685863874345549,0.031413612565445025,0.75,0.9285714285714286,-0.013470319634703201,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Persistence,5,1,16,0.1,219,28,18,0.0821917808219178,8,10,20,181,0.4444444444444444,0.2857142857142857,0.9476439790575916,0.05235602094240838,0.5555555555555556,0.7142857142857143,-0.017808219178082202,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Persistence,5,1,17,0.05,219,13,8,0.0365296803652968,0,8,13,198,0.0,0.0,0.9611650485436893,0.038834951456310676,1.0,1.0,-0.013470319634703201,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Persistence,5,1,17,0.1,219,13,18,0.0821917808219178,2,16,11,190,0.1111111111111111,0.15384615384615385,0.9223300970873787,0.07766990291262135,0.8888888888888888,0.8461538461538461,-0.017808219178082202,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Persistence,5,2,15,0.05,219,20,24,0.1095890410958904,1,23,19,176,0.041666666666666664,0.05,0.8844221105527639,0.11557788944723618,0.9583333333333334,0.95,0.0595890410958904,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Persistence,5,2,15,0.1,219,20,44,0.2009132420091324,4,40,16,159,0.09090909090909091,0.2,0.7989949748743719,0.20100502512562815,0.9090909090909091,0.8,0.1009132420091324,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Persistence,5,2,16,0.05,219,7,24,0.1095890410958904,0,24,7,188,0.0,0.0,0.8867924528301887,0.11320754716981132,1.0,1.0,0.0595890410958904,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Persistence,5,2,16,0.1,219,7,44,0.2009132420091324,2,42,5,170,0.045454545454545456,0.2857142857142857,0.8018867924528302,0.19811320754716982,0.9545454545454546,0.7142857142857143,0.1009132420091324,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Persistence,5,2,17,0.05,219,1,24,0.1095890410958904,0,24,1,194,0.0,0.0,0.8899082568807339,0.11009174311926606,1.0,1.0,0.0595890410958904,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Persistence,5,2,17,0.1,219,1,44,0.2009132420091324,1,43,0,175,0.022727272727272728,1.0,0.8027522935779816,0.19724770642201836,0.9772727272727273,0.0,0.1009132420091324,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Persistence,5,3,15,0.05,219,49,22,0.1004566210045662,10,12,39,158,0.45454545454545453,0.20408163265306123,0.9294117647058824,0.07058823529411765,0.5454545454545454,0.7959183673469388,0.0504566210045662,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Persistence,5,3,15,0.1,219,49,40,0.182648401826484,17,23,32,147,0.425,0.3469387755102041,0.8647058823529412,0.13529411764705881,0.575,0.6530612244897959,0.082648401826484,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Persistence,5,3,16,0.05,219,32,22,0.1004566210045662,7,15,25,172,0.3181818181818182,0.21875,0.9197860962566845,0.08021390374331551,0.6818181818181818,0.78125,0.0504566210045662,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Persistence,5,3,16,0.1,219,32,40,0.182648401826484,12,28,20,159,0.3,0.375,0.8502673796791443,0.1497326203208556,0.7,0.625,0.082648401826484,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Persistence,5,3,17,0.05,219,12,22,0.1004566210045662,3,19,9,188,0.13636363636363635,0.25,0.9082125603864735,0.09178743961352658,0.8636363636363636,0.75,0.0504566210045662,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Persistence,5,3,17,0.1,219,12,40,0.182648401826484,6,34,6,173,0.15,0.5,0.8357487922705314,0.1642512077294686,0.85,0.5,0.082648401826484,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Ridge,5,1,15,0.05,219,48,0,0.0,0,0,48,171,,0.0,1.0,0.0,,1.0,-0.05,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Ridge,5,1,15,0.1,219,48,0,0.0,0,0,48,171,,0.0,1.0,0.0,,1.0,-0.1,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Ridge,5,1,16,0.05,219,28,0,0.0,0,0,28,191,,0.0,1.0,0.0,,1.0,-0.05,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Ridge,5,1,16,0.1,219,28,0,0.0,0,0,28,191,,0.0,1.0,0.0,,1.0,-0.1,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Ridge,5,1,17,0.05,219,13,0,0.0,0,0,13,206,,0.0,1.0,0.0,,1.0,-0.05,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
Ridge,5,1,17,0.1,219,13,0,0.0,0,0,13,206,,0.0,1.0,0.0,,1.0,-0.1,30,historical_sequential_past_only,sequential_h5_alarm_policy_140b8193f314_6ed147cd_f83baf57
