dataset,metric_type,metric,horizon,tau_mgL,budget_r,model,model_key,model_label,ulsan_source_group,ulsan_value,seoul_value,delta_seoul_minus_ulsan,relative_change_pct,direction,baseline_available,improved_on_seoul
Seoul_Tancheon,alarm,precision,1,17.0,0.05,HGBR,hgbr,HGBR,,,0.05,,,higher_is_better,0,
Seoul_Tancheon,alarm,precision,1,17.0,0.05,Persistence,persistence,Persistence,main_alarm,0.2307692307692307,0.05,-0.18076923076923068,-78.33333333333333,higher_is_better,1,0.0
Seoul_Tancheon,alarm,precision,1,17.0,0.1,ElasticNet,enet_a0.1_l0.5,ElasticNet,main_alarm,0.1558441558441558,0.042016806722689,-0.1138273491214668,-73.03921568627455,higher_is_better,1,0.0
Seoul_Tancheon,alarm,precision,1,17.0,0.1,HGBR,hgbr,HGBR,,,0.0336134453781512,,,higher_is_better,0,
Seoul_Tancheon,alarm,precision,1,17.0,0.1,Persistence,persistence,Persistence,main_alarm,0.1688311688311688,0.0336134453781512,-0.1352177234530176,-80.0904977375566,higher_is_better,1,0.0
Seoul_Tancheon,alarm,precision,3,15.0,0.05,ElasticNet,enet_a0.1_l0.5,ElasticNet,main_alarm,0.6052631578947368,0.3166666666666666,-0.28859649122807024,-47.681159420289866,higher_is_better,1,0.0
Seoul_Tancheon,alarm,precision,3,15.0,0.05,HGBR,hgbr,HGBR,,,0.2666666666666666,,,higher_is_better,0,
Seoul_Tancheon,alarm,precision,3,15.0,0.05,Persistence,persistence,Persistence,main_alarm,0.5263157894736842,0.25,-0.2763157894736842,-52.5,higher_is_better,1,0.0
Seoul_Tancheon,alarm,precision,3,15.0,0.1,ElasticNet,enet_a0.1_l0.5,ElasticNet,main_alarm,0.4078947368421052,0.3109243697478991,-0.09697036709420609,-23.773380319869883,higher_is_better,1,0.0
Seoul_Tancheon,alarm,precision,3,15.0,0.1,HGBR,hgbr,HGBR,,,0.226890756302521,,,higher_is_better,0,
Seoul_Tancheon,alarm,precision,3,15.0,0.1,Persistence,persistence,Persistence,main_alarm,0.4868421052631579,0.2100840336134453,-0.2767580716497126,-56.84760390642745,higher_is_better,1,0.0
Seoul_Tancheon,alarm,precision,3,16.0,0.05,ElasticNet,enet_a0.1_l0.5,ElasticNet,main_alarm,0.3421052631578947,0.1166666666666666,-0.2254385964912281,-65.89743589743593,higher_is_better,1,0.0
Seoul_Tancheon,alarm,precision,3,16.0,0.05,HGBR,hgbr,HGBR,,,0.1333333333333333,,,higher_is_better,0,
Seoul_Tancheon,alarm,precision,3,16.0,0.05,Persistence,persistence,Persistence,main_alarm,0.2894736842105263,0.1,-0.18947368421052632,-65.45454545454545,higher_is_better,1,0.0
Seoul_Tancheon,alarm,precision,3,16.0,0.1,ElasticNet,enet_a0.1_l0.5,ElasticNet,main_alarm,0.2368421052631578,0.1260504201680672,-0.1107916850950906,-46.77871148459383,higher_is_better,1,0.0
Seoul_Tancheon,alarm,precision,3,16.0,0.1,HGBR,hgbr,HGBR,,,0.0924369747899159,,,higher_is_better,0,
Seoul_Tancheon,alarm,precision,3,16.0,0.1,Persistence,persistence,Persistence,main_alarm,0.2763157894736842,0.0672268907563025,-0.20908889871738168,-75.6702681072429,higher_is_better,1,0.0
Seoul_Tancheon,alarm,precision,3,17.0,0.05,ElasticNet,enet_a0.1_l0.5,ElasticNet,main_alarm,0.1842105263157894,0.0666666666666666,-0.11754385964912281,-63.80952380952383,higher_is_better,1,0.0
Seoul_Tancheon,alarm,precision,3,17.0,0.05,HGBR,hgbr,HGBR,,,0.0833333333333333,,,higher_is_better,0,
Seoul_Tancheon,alarm,precision,3,17.0,0.05,Persistence,persistence,Persistence,main_alarm,0.0789473684210526,0.05,-0.028947368421052597,-36.666666666666636,higher_is_better,1,0.0
Seoul_Tancheon,alarm,precision,3,17.0,0.1,ElasticNet,enet_a0.1_l0.5,ElasticNet,main_alarm,0.1184210526315789,0.042016806722689,-0.07640424590888989,-64.51914098972927,higher_is_better,1,0.0
Seoul_Tancheon,alarm,precision,3,17.0,0.1,HGBR,hgbr,HGBR,,,0.0588235294117647,,,higher_is_better,0,
Seoul_Tancheon,alarm,precision,3,17.0,0.1,Persistence,persistence,Persistence,main_alarm,0.0789473684210526,0.0252100840336134,-0.0537372843874392,-68.06722689075634,higher_is_better,1,0.0
Seoul_Tancheon,alarm,precision,5,15.0,0.05,ElasticNet,enet_a0.1_l0.5,ElasticNet,main_alarm,0.5263157894736842,0.3166666666666666,-0.20964912280701758,-39.83333333333334,higher_is_better,1,0.0
Seoul_Tancheon,alarm,precision,5,15.0,0.05,HGBR,hgbr,HGBR,hybrid_rank_v2_guarded,0.5,0.1,-0.4,-80.0,higher_is_better,1,0.0
Seoul_Tancheon,alarm,precision,5,15.0,0.05,Persistence,persistence,Persistence,main_alarm,0.5,0.2333333333333333,-0.2666666666666667,-53.33333333333334,higher_is_better,1,0.0
Seoul_Tancheon,alarm,precision,5,15.0,0.1,ElasticNet,enet_a0.1_l0.5,ElasticNet,main_alarm,0.4473684210526316,0.2941176470588235,-0.1532507739938081,-34.256055363321806,higher_is_better,1,0.0
Seoul_Tancheon,alarm,precision,5,15.0,0.1,HGBR,hgbr,HGBR,hybrid_rank_v2_guarded,0.4,0.134453781512605,-0.265546218487395,-66.38655462184875,higher_is_better,1,0.0
Seoul_Tancheon,alarm,precision,5,15.0,0.1,Persistence,persistence,Persistence,main_alarm,0.4473684210526316,0.2184873949579832,-0.2288810260946484,-51.16164112703905,higher_is_better,1,0.0
Seoul_Tancheon,alarm,precision,5,16.0,0.05,ElasticNet,enet_a0.1_l0.5,ElasticNet,main_alarm,0.2631578947368421,0.0833333333333333,-0.17982456140350878,-68.33333333333333,higher_is_better,1,0.0
Seoul_Tancheon,alarm,precision,5,16.0,0.05,HGBR,hgbr,HGBR,hybrid_rank_v2_guarded,0.3684210526315789,0.0166666666666666,-0.3517543859649123,-95.4761904761905,higher_is_better,1,0.0
Seoul_Tancheon,alarm,precision,5,16.0,0.05,Persistence,persistence,Persistence,main_alarm,0.3684210526315789,0.1,-0.2684210526315789,-72.85714285714285,higher_is_better,1,0.0
Seoul_Tancheon,alarm,precision,5,16.0,0.1,ElasticNet,enet_a0.1_l0.5,ElasticNet,main_alarm,0.2894736842105263,0.1092436974789916,-0.18022998673153473,-62.26126814362109,higher_is_better,1,0.0
Seoul_Tancheon,alarm,precision,5,16.0,0.1,HGBR,hgbr,HGBR,hybrid_rank_v2_guarded,0.2933333333333333,0.0504201680672268,-0.24291316526610648,-82.81130634071813,higher_is_better,1,0.0
Seoul_Tancheon,alarm,precision,5,16.0,0.1,Persistence,persistence,Persistence,main_alarm,0.3026315789473684,0.1008403361344537,-0.20179124281291472,-66.67884545122399,higher_is_better,1,0.0
Seoul_Tancheon,alarm,precision,5,17.0,0.05,ElasticNet,enet_a0.1_l0.5,ElasticNet,main_alarm,0.131578947368421,0.0166666666666666,-0.11491228070175438,-87.33333333333337,higher_is_better,1,0.0
Seoul_Tancheon,alarm,precision,5,17.0,0.05,HGBR,hgbr,HGBR,,,0.0166666666666666,,,higher_is_better,0,
Seoul_Tancheon,alarm,precision,5,17.0,0.05,Persistence,persistence,Persistence,main_alarm,0.1052631578947368,0.05,-0.05526315789473679,-52.49999999999998,higher_is_better,1,0.0
Seoul_Tancheon,alarm,precision,5,17.0,0.1,ElasticNet,enet_a0.1_l0.5,ElasticNet,main_alarm,0.1447368421052631,0.042016806722689,-0.1027200353825741,-70.97020626432395,higher_is_better,1,0.0
