model,scope,tau,budget_r,score_col,n,k,events,non_events,TP,FP,FN,TN,precision,recall,false_alarm_rate,miss_rate
hybrid_rank_ens_H5_v2,fold1,15.0,0.1,p_tau15,249,25,59,190,15,10,44,180,0.6,0.2542372881355932,0.05263157894736842,0.7457627118644068
hybrid_rank_ens_H5_v2,fold2,15.0,0.1,p_tau15,249,25,20,229,5,20,15,209,0.2,0.25,0.08733624454148471,0.75
hybrid_rank_ens_H5_v2,fold3,15.0,0.1,p_tau15,249,25,55,194,9,16,46,178,0.36,0.16363636363636364,0.08247422680412371,0.8363636363636363
hybrid_rank_ens_H5_v2,overall,16.0,0.05,p_tau16,747,38,71,676,17,21,54,655,0.4473684210526316,0.23943661971830985,0.03106508875739645,0.7605633802816901
hybrid_rank_ens_H5_v2,fold1,16.0,0.05,p_tau16,249,13,31,218,5,8,26,210,0.38461538461538464,0.16129032258064516,0.03669724770642202,0.8387096774193549
hybrid_rank_ens_H5_v2,fold2,16.0,0.05,p_tau16,249,13,7,242,3,10,4,232,0.23076923076923078,0.42857142857142855,0.04132231404958678,0.5714285714285714
hybrid_rank_ens_H5_v2,fold3,16.0,0.05,p_tau16,249,13,33,216,7,6,26,210,0.5384615384615384,0.21212121212121213,0.027777777777777776,0.7878787878787878
hybrid_rank_ens_H5_v2,overall,16.0,0.1,p_tau16,747,75,71,676,21,54,50,622,0.28,0.29577464788732394,0.07988165680473373,0.704225352112676
hybrid_rank_ens_H5_v2,fold1,16.0,0.1,p_tau16,249,25,31,218,10,15,21,203,0.4,0.3225806451612903,0.06880733944954129,0.6774193548387096
hybrid_rank_ens_H5_v2,fold2,16.0,0.1,p_tau16,249,25,7,242,3,22,4,220,0.12,0.42857142857142855,0.09090909090909091,0.5714285714285714
hybrid_rank_ens_H5_v2,fold3,16.0,0.1,p_tau16,249,25,33,216,13,12,20,204,0.52,0.3939393939393939,0.05555555555555555,0.6060606060606061
hybrid_rank_ens_H5_v2,overall,17.0,0.05,p_tau17,747,38,29,718,8,30,21,688,0.21052631578947367,0.27586206896551724,0.04178272980501393,0.7241379310344828
hybrid_rank_ens_H5_v2,fold1,17.0,0.05,p_tau17,249,13,16,233,2,11,14,222,0.15384615384615385,0.125,0.04721030042918455,0.875
hybrid_rank_ens_H5_v2,fold2,17.0,0.05,p_tau17,249,13,1,248,1,12,0,236,0.07692307692307693,1.0,0.04838709677419355,0.0
hybrid_rank_ens_H5_v2,fold3,17.0,0.05,p_tau17,249,13,12,237,5,8,7,229,0.38461538461538464,0.4166666666666667,0.03375527426160337,0.5833333333333334
hybrid_rank_ens_H5_v2,overall,17.0,0.1,p_tau17,747,75,29,718,9,66,20,652,0.12,0.3103448275862069,0.09192200557103064,0.6896551724137931
hybrid_rank_ens_H5_v2,fold1,17.0,0.1,p_tau17,249,25,16,233,3,22,13,211,0.12,0.1875,0.0944206008583691,0.8125
hybrid_rank_ens_H5_v2,fold2,17.0,0.1,p_tau17,249,25,1,248,1,24,0,224,0.04,1.0,0.0967741935483871,0.0
hybrid_rank_ens_H5_v2,fold3,17.0,0.1,p_tau17,249,25,12,237,5,20,7,217,0.2,0.4166666666666667,0.08438818565400844,0.5833333333333334
