model,model_full_name,source_group,horizon,tau_mgL,budget_r,precision,recall,TP,events,k,source_file,rank_recall,rank_precision
enet_a1.0_l0.2,"ElasticNet (alpha=1.0, l1_ratio=0.2)",main_alarm,3,15,0.05,0.631578947368421,0.1714285714285714,24,140,38,results/metrics/alarm_budget_H3.csv,1,1
enet_a0.1_l0.2,"ElasticNet (alpha=0.1, l1_ratio=0.2)",main_alarm,3,15,0.05,0.6052631578947368,0.1642857142857142,23,140,38,results/metrics/alarm_budget_H3.csv,2,2
enet_a0.1_l0.5,"ElasticNet (alpha=0.1, l1_ratio=0.5)",main_alarm,3,15,0.05,0.6052631578947368,0.1642857142857142,23,140,38,results/metrics/alarm_budget_H3.csv,2,2
persistence,Persistence baseline (carry-forward),main_alarm,3,15,0.05,0.5263157894736842,0.1428571428571428,20,140,38,results/metrics/alarm_budget_H3.csv,3,3
enet_a0.01_l0.2,"ElasticNet (alpha=0.01, l1_ratio=0.2)",main_alarm,3,15,0.05,0.4736842105263157,0.1285714285714285,18,140,38,results/metrics/alarm_budget_H3.csv,4,4
enet_a0.01_l0.5,"ElasticNet (alpha=0.01, l1_ratio=0.5)",main_alarm,3,15,0.05,0.4736842105263157,0.1285714285714285,18,140,38,results/metrics/alarm_budget_H3.csv,4,4
enet_a1.0_l0.5,"ElasticNet (alpha=1.0, l1_ratio=0.5)",main_alarm,3,15,0.05,0.4736842105263157,0.1285714285714285,18,140,38,results/metrics/alarm_budget_H3.csv,4,4
enet_a0.01_l0.2,"ElasticNet (alpha=0.01, l1_ratio=0.2)",main_alarm,3,15,0.1,0.5131578947368421,0.2785714285714286,39,140,76,results/metrics/alarm_budget_H3.csv,1,1
enet_a0.01_l0.5,"ElasticNet (alpha=0.01, l1_ratio=0.5)",main_alarm,3,15,0.1,0.5,0.2714285714285714,38,140,76,results/metrics/alarm_budget_H3.csv,2,2
persistence,Persistence baseline (carry-forward),main_alarm,3,15,0.1,0.4868421052631579,0.2642857142857143,37,140,76,results/metrics/alarm_budget_H3.csv,3,3
enet_a0.1_l0.2,"ElasticNet (alpha=0.1, l1_ratio=0.2)",main_alarm,3,15,0.1,0.4210526315789473,0.2285714285714285,32,140,76,results/metrics/alarm_budget_H3.csv,4,4
enet_a0.1_l0.5,"ElasticNet (alpha=0.1, l1_ratio=0.5)",main_alarm,3,15,0.1,0.4078947368421052,0.2214285714285714,31,140,76,results/metrics/alarm_budget_H3.csv,5,5
enet_a1.0_l0.2,"ElasticNet (alpha=1.0, l1_ratio=0.2)",main_alarm,3,15,0.1,0.4078947368421052,0.2214285714285714,31,140,76,results/metrics/alarm_budget_H3.csv,5,5
